Account Number,Suite,House.java Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
9999330,,1713,ROBERTSON PLACE SW,Y,5454,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,481500,53.42051565000000,-113.53161630000000,POINT (-113.53161625491973 53.4205156452796),100,,,RESIDENTIAL,,
9984036,1606,9741,110 STREET NW,N,1151,WÎHKWÊNTÔWIN,O-day'min Ward,318000,53.53524727353830,-113.50974460000000,POINT (-113.50974455041117 53.53524727353832),100,,,RESIDENTIAL,,
9992821,,,,N,5620,HODGSON,pihêsiwin Ward,8500,53.46070520172880,-113.56664090000000,POINT (-113.5666409071016 53.46070520172884),100,,,RESIDENTIAL,,
9981729,,1739,HASWELL COVE NW,Y,5610,HADDOW,pihêsiwin Ward,665500,53.45339386860670,-113.60208500000000,POINT (-113.60208498060491 53.45339386860677),100,,,RESIDENTIAL,,
9999031,,14016,152 AVENUE NW,N,3150,CUMBERLAND,Anirniq Ward,344500,53.61389158097440,-113.56195720000000,POINT (-113.5619572387559 53.61389158097445),100,,,RESIDENTIAL,,
10006694,,2406,33A STREET NW,Y,6442,SILVER BERRY,Sspomitapi Ward,472000,53.45437285309030,-113.39317190000000,POINT (-113.39317194774989 53.45437285309036),100,,,RESIDENTIAL,,
10009278,415,10403,98 AVENUE NW,N,1090,DOWNTOWN,O-day'min Ward,236000,53.53520125659900,-113.49977200000000,POINT (-113.49977198768597 53.535201256599045),100,,,RESIDENTIAL,,
10001709,,20115,54 AVENUE NW,Y,4461,THE HAMPTONS,sipiwiyiniwak Ward,433000,53.48944170401650,-113.66898520000000,POINT (-113.66898518190189 53.489441704016514),100,,,RESIDENTIAL,,
10005528,,12949,162A AVENUE NW,Y,3320,OXFORD,Anirniq Ward,458000,53.62439127816130,-113.54667340000000,POINT (-113.54667343146713 53.62439127816136),100,,,RESIDENTIAL,,
10003592,308,9503,101 AVENUE NW,N,1210,RIVERDALE,O-day'min Ward,272000,53.54269940000000,-113.47828520000000,POINT (-113.47828519170925 53.5426993999657),100,,,RESIDENTIAL,,
10001626,,20048,54A AVENUE NW,Y,4461,THE HAMPTONS,sipiwiyiniwak Ward,341500,53.49031000798150,-113.66775670000000,POINT (-113.66775668259245 53.49031000798152),100,,,RESIDENTIAL,,
9982023,,,,N,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,6500,53.52221379821840,-113.59184170000000,POINT (-113.59184166509118 53.52221379821845),100,,,RESIDENTIAL,,
